
# mes "*Hiccup*...... *Hiccup*.......";
#: npc/cities/amatsu.txt
msgid "and it feels like it all happened yesterday."
msgstr ""

# mes "...";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "..."
msgstr ""

# mes "My wife passed away...";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "My wife passed away..."
msgstr ""

# mes "So now I only come here by";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "So now I only come here by"
msgstr ""

# mes "myself...But I feel like I'm with her whenever I'm here.";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "myself...But I feel like I'm with her whenever I'm here."
msgstr ""

# mes "Do you have anyone that you";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "Do you have anyone that you"
msgstr ""

# mes "think about? If you have a";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "think about? If you have a"
msgstr ""

# mes "special someone, don't hesitate";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "special someone, don't hesitate"
msgstr ""

# mes "or hold back. Be sure to treat";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "or hold back. Be sure to treat"
msgstr ""

# mes "that person specially.";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "that person specially."
msgstr ""

# mes "Human beings live such short";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "Human beings live such short"
msgstr ""

# mes "lives. But we're able to laugh";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "lives. But we're able to laugh"
msgstr ""

# mes "throughout life and forget the";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "throughout life and forget the"
msgstr ""

# mes "sadness.";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "sadness."
msgstr ""

# mes "...Always be happy.";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "...Always be happy."
msgstr ""

# mes "[Hutari Shioko]";
#: npc/cities/amatsu.txt
msgctxt "Propose Girl#ama"
msgid "[Hutari Shioko]"
msgstr ""

# mes "It is a pleasure to meet you.";
#: npc/cities/amatsu.txt
msgctxt "Propose Girl#ama"
msgid "It is a pleasure to meet you."
msgstr ""

# mes "My name is Hutari Shioko.";
#: npc/cities/amatsu.txt
msgctxt "Propose Girl#ama"
msgid "My name is Hutari Shioko."
msgstr ""

# mes "My hobby is listening to music.";
#: npc/cities/amatsu.txt
msgctxt "Propose Girl#ama"
msgid "My hobby is listening to music."
msgstr ""

# mes "I'm an avid fan of classical music.";
#: npc/cities/amatsu.txt
msgctxt "Propose Girl#ama"
msgid "I'm an avid fan of classical music."
msgstr ""

# mes "There is an old story about";
#: npc/cities/amatsu.txt
msgctxt "Propose Girl#ama"
msgid "There is an old story about"
msgstr ""

# mes "the hill in our town.";
#: npc/cities/amatsu.txt
msgctxt "Propose Girl#ama"
msgid "the hill in our town."
msgstr ""

# mes "Have you heard this story before?";
#: npc/cities/amatsu.txt
msgctxt "Propose Girl#ama"
msgid "Have you heard this story before?"
msgstr ""

# mes "It is said that if you propose";
#: npc/cities/amatsu.txt
msgctxt "Propose Girl#ama"
msgid "It is said that if you propose"
msgstr ""

# mes "under that tree, you and your";
#: npc/cities/amatsu.txt
msgctxt "Propose Girl#ama"
msgid "under that tree, you and your"
msgstr ""

# mes "lover will live a happy life for all eternity.";
#: npc/cities/amatsu.txt
msgctxt "Propose Girl#ama"
msgid "lover will live a happy life for all eternity."
msgstr ""

# mes "However, the proposal can not be";
#: npc/cities/amatsu.txt
msgctxt "Propose Girl#ama"
msgid "However, the proposal can not be"
msgstr ""

# mes "done at any given time. The legend states that it can only be done on Saturday evenings.";
#: npc/cities/amatsu.txt
msgctxt "Propose Girl#ama"
msgid "done at any given time. The legend states that it can only be done on Saturday evenings."
msgstr ""

# mes "After the proposal, the reply must";
#: npc/cities/amatsu.txt
msgctxt "Propose Girl#ama"
msgid "After the proposal, the reply must"
msgstr ""

# mes "be answered before Sunday evening. This is the most crucial part of it.";
#: npc/cities/amatsu.txt
msgctxt "Propose Girl#ama"
msgid "be answered before Sunday evening. This is the most crucial part of it."
msgstr ""

# mes "If you like someone...";
#: npc/cities/amatsu.txt
msgctxt "Propose Girl#ama"
msgid "If you like someone..."
msgstr ""

# mes "You should try proposing";
#: npc/cities/amatsu.txt
msgctxt "Propose Girl#ama"
msgid "You should try proposing"
msgstr ""

# mes "under that tree. I'm sure ";
#: npc/cities/amatsu.txt
msgctxt "Propose Girl#ama"
msgid "under that tree. I'm sure "
msgstr ""

# mes "happy things will happen, if you do.";
#: npc/cities/amatsu.txt
msgctxt "Propose Girl#ama"
msgid "happy things will happen, if you do."
msgstr ""

# mes "[Garakame sensei]";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "[Garakame sensei]"
msgstr ""

# mes "This is a beautiful place";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "This is a beautiful place"
msgstr ""

# mes "with everlasting cherry blossoms.";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "with everlasting cherry blossoms."
msgstr ""

# mes "Also, this town is the origin of";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "Also, this town is the origin of"
msgstr ""

# mes "legendary play, 'White Dryad.' ";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "legendary play, 'White Dryad.' "
msgstr ""

# mes "If you know a girl who is";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "If you know a girl who is"
msgstr ""

# mes "talented in acting, please";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "talented in acting, please"
msgstr ""

# mes "bring her to me. I have been";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "bring her to me. I have been"
msgstr ""

# mes "searching for a girl who could";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "searching for a girl who could"
msgstr ""

# mes "play the role as the 'White Dryad.'";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "play the role as the 'White Dryad.'"
msgstr ""

# mes "The 'White Dryad' is a nymph of";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "The 'White Dryad' is a nymph of"
msgstr ""

# mes "cherry tree... It has been hard to";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "cherry tree... It has been hard to"
msgstr ""

# mes "find a girl who can perform";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "find a girl who can perform"
msgstr ""

# mes "as the 'White Drayd...'";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "as the 'White Drayd...'"
msgstr ""

# mes "Are you interested in acting?";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "Are you interested in acting?"
msgstr ""

# mes "I need someone who sees";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "I need someone who sees"
msgstr ""

# mes "the passion in acting and";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "the passion in acting and"
msgstr ""

# mes "can understand my vision.";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "can understand my vision."
msgstr ""

# mes "When you stand on the stage,";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "When you stand on the stage,"
msgstr ""

# mes "you need to become the";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "you need to become the"
msgstr ""

# mes "character. Your acting needs";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "character. Your acting needs"
msgstr ""

# mes "to touch the hearts of the";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "to touch the hearts of the"
msgstr ""

# mes "audience and touch their souls.";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "audience and touch their souls."
msgstr ""

# mes "Everyone's life is like a ";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "Everyone's life is like a "
msgstr ""

# mes "drama, right? Enjoy your life";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "drama, right? Enjoy your life"
msgstr ""

# mes "as what you are and find me";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "as what you are and find me"
msgstr ""

# mes "someday when you are ready.";
#: npc/cities/amatsu.txt
msgctxt "Drama Teacher#ama"
msgid "someday when you are ready."
msgstr ""

# mes "[Bonubonu]";
#: npc/cities/amatsu.txt
msgctxt "Bonubonu#ama2"
msgid "[Bonubonu]"
msgstr ""

# mes "That tree on the hill is";
#: npc/cities/amatsu.txt
msgctxt "Bonubonu#ama2"
msgid "That tree on the hill is"
msgstr ""

# mes "a very old tree. It is a big";
#: npc/cities/amatsu.txt
msgctxt "Bonubonu#ama2"
msgid "a very old tree. It is a big"
msgstr ""

# mes "cherry tree with everlasting blossoms.";
#: npc/cities/amatsu.txt
msgctxt "Bonubonu#ama2"
msgid "cherry tree with everlasting blossoms."
msgstr ""

# mes "There is something about this";
#: npc/cities/amatsu.txt
msgctxt "Bonubonu#ama2"
msgid "There is something about this"
msgstr ""

# mes "tree that makes me forget about";
#: npc/cities/amatsu.txt
msgctxt "Bonubonu#ama2"
msgid "tree that makes me forget about"
msgstr ""

# mes "all the troubles in my life when I sit under it.";
#: npc/cities/amatsu.txt
msgctxt "Bonubonu#ama2"
msgid "all the troubles in my life when I sit under it."
msgstr ""

# mes "Everything about this tree is";
#: npc/cities/amatsu.txt
msgctxt "Bonubonu#ama2"
msgid "Everything about this tree is"
msgstr ""

# mes "simply wonderful...";
#: npc/cities/amatsu.txt
msgctxt "Bonubonu#ama2"
msgid "simply wonderful..."
msgstr ""

# mes "I can't really describe how";
#: npc/cities/amatsu.txt
msgctxt "Bonubonu#ama2"
msgid "I can't really describe how"
msgstr ""

# mes "I feel when I look at it...";
#: npc/cities/amatsu.txt
msgctxt "Bonubonu#ama2"
msgid "I feel when I look at it..."
msgstr ""

# mes "It just leaves me breathless...";
#: npc/cities/amatsu.txt
msgctxt "Bonubonu#ama2"
msgid "It just leaves me breathless..."
msgstr ""

# mes "You should visit the tree and";
#: npc/cities/amatsu.txt
msgctxt "Bonubonu#ama2"
msgid "You should visit the tree and"
msgstr ""

# mes "spend some time there.";
#: npc/cities/amatsu.txt
msgctxt "Bonubonu#ama2"
msgid "spend some time there."
msgstr ""

# mes "It is really a miraculous and gracious tree...";
#: npc/cities/amatsu.txt
msgctxt "Bonubonu#ama2"
msgid "It is really a miraculous and gracious tree..."
msgstr ""

# mes "[Sakura Seiichi]";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "[Sakura Seiichi]"
msgstr ""

# mes "Ah... I'm not a weirdo so";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "Ah... I'm not a weirdo so"
msgstr ""

# mes "don't panic. I'm just an ordinary";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "don't panic. I'm just an ordinary"
msgstr ""

# mes "veterinarian. My job is curing";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "veterinarian. My job is curing"
msgstr ""

# mes "sick animals.";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "sick animals."
msgstr ""

# mes " ";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid " "
msgstr ""

# mes "By the way... Do you know?";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "By the way... Do you know?"
msgstr ""

# mes "The story about the cherry tree";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "The story about the cherry tree"
msgstr ""

# mes "on the hill...I guess you haven't heard about it...";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "on the hill...I guess you haven't heard about it..."
msgstr ""

# mes "That tree has a secret of";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "That tree has a secret of"
msgstr ""

# mes "keeping its beauty and whiteness.";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "keeping its beauty and whiteness."
msgstr ""

# mes "The secret is...";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "The secret is..."
msgstr ""

# mes "There are corpses buried under...";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "There are corpses buried under..."
msgstr ""

# mes "that tree...";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "that tree..."
msgstr ""

# if (select("How horrible!", "You have got to be kidding.") == 1) {
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "How horrible!"
msgstr ""

# if (select("How horrible!", "You have got to be kidding.") == 1) {
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "You have got to be kidding."
msgstr ""

# mes "Kuhuhu... They could be...";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "Kuhuhu... They could be..."
msgstr ""

# mes "By the way, do you want";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "By the way, do you want"
msgstr ""

# mes "make a bet on it...?";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "make a bet on it...?"
msgstr ""

# mes "If I..........";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "If I.........."
msgstr ""

# mes "............";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "............"
msgstr ""

# mes ".........";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "........."
msgstr ""

# mes "^3355FFHis voice was getting lower";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "^3355FFHis voice was getting lower"
msgstr ""

# mes "and lower as the wind blew.";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "and lower as the wind blew."
msgstr ""

# mes "Finally, I couldn't even hear his voice. I can't even recall what he was trying to tell me...^000000";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "Finally, I couldn't even hear his voice. I can't even recall what he was trying to tell me...^000000"
msgstr ""

# mes "I can't help it if you think that way. But one day, you too could be buried underneath...";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "I can't help it if you think that way. But one day, you too could be buried underneath..."
msgstr ""

# mes "Haha... Hahaha.....";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "Haha... Hahaha....."
msgstr ""

# mes "...............";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "..............."
msgstr ""

# mes "...........";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "..........."
msgstr ""

# mes "^3355FFHis laugh was getting lower";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "^3355FFHis laugh was getting lower"
msgstr ""

# mes "Finally, I couldn't even hear anything. I can't even recall what he was trying to tell me...^000000";
#: npc/cities/amatsu.txt
msgctxt "Veterinarian#ama"
msgid "Finally, I couldn't even hear anything. I can't even recall what he was trying to tell me...^000000"
msgstr ""

# mes "^3355FFAs she mentioned, this tree";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "^3355FFAs she mentioned, this tree"
msgstr ""

# mes "seems to be a famous place";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "seems to be a famous place"
msgstr ""

# mes "for proposing lovers.";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "for proposing lovers."
msgstr ""

# mes "There were several carved symbols";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "There were several carved symbols"
msgstr ""

# mes "of hearts and initials of lovers";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "of hearts and initials of lovers"
msgstr ""

# mes "on the bark.^000000";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "on the bark.^000000"
msgstr ""

# mes "^3355FFBesides proposals, people";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "^3355FFBesides proposals, people"
msgstr ""

# mes "gather under this tree when";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "gather under this tree when"
msgstr ""

# mes "they discuss important";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "they discuss important"
msgstr ""

# mes "matters. I could listen to";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "matters. I could listen to"
msgstr ""

# mes "all kinds of stories";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "all kinds of stories"
msgstr ""

# mes "in this magnificent place.^000000";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "in this magnificent place.^000000"
msgstr ""

# mes "^3355FFThe legendary play, 'White Dryad'.....";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "^3355FFThe legendary play, 'White Dryad'....."
msgstr ""

# mes "I never heard about that title but";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "I never heard about that title but"
msgstr ""

# mes "it sounds familiar.";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "it sounds familiar."
msgstr ""

# mes "Nymph of cherry tree... What would";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "Nymph of cherry tree... What would"
msgstr ""

# mes "be her position in the play?^000000";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "be her position in the play?^000000"
msgstr ""

# mes "^3355FFI would like to find";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "^3355FFI would like to find"
msgstr ""

# mes "a person who is talented";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "a person who is talented"
msgstr ""

# mes "in acting and help her until";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "in acting and help her until"
msgstr ""

# mes "she performs the play. However,";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "she performs the play. However,"
msgstr ""

# mes "it seems to be easier said than done.^000000";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "it seems to be easier said than done.^000000"
msgstr ""

# mes "^3355FFI might have talent in";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "^3355FFI might have talent in"
msgstr ""

# mes "acting which hasn't been discovered yet. I thought, 'If I dress up, I should perform as the 'White Dryad...'^000000";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid ""
"acting which hasn't been discovered yet. I thought, 'If I dress up, I should perform as the 'White Dryad...'^000000"
msgstr ""

# mes "^3355FFUnlike other cherry trees,";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "^3355FFUnlike other cherry trees,"
msgstr ""

# mes "this tree has a strong fragnance.";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "this tree has a strong fragnance."
msgstr ""

# mes "I just fell into a relaxed";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "I just fell into a relaxed"
msgstr ""

# mes "mood. The fragnance eased";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "mood. The fragnance eased"
msgstr ""

# mes "my burdens and I felt";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "my burdens and I felt"
msgstr ""

# mes "very comfortable.^000000";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "very comfortable.^000000"
msgstr ""

# mes "^3355FFIt was just for a few moments";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "^3355FFIt was just for a few moments"
msgstr ""

# mes "but I could forget the";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "but I could forget the"
msgstr ""

# mes "burdens of life. I wish to";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "burdens of life. I wish to"
msgstr ""

# mes "come back again and";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "come back again and"
msgstr ""

# mes "sit under this tree...^000000";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "sit under this tree...^000000"
msgstr ""

# mes "^3355FFThis strong fragnance";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "^3355FFThis strong fragnance"
msgstr ""

# mes "is making me dizzy. Not like";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "is making me dizzy. Not like"
msgstr ""

# mes "other cherry trees, this tree's";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "other cherry trees, this tree's"
msgstr ""

# mes "shimmering white petals";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "shimmering white petals"
msgstr ""

# mes "felt strange.^000000";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "felt strange.^000000"
msgstr ""

# mes "^3355FFIt feels as if my soul is";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "^3355FFIt feels as if my soul is"
msgstr ""

# mes "being drained if I stay here";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "being drained if I stay here"
msgstr ""

# mes "longer. After a glimpse of";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "longer. After a glimpse of"
msgstr ""

# mes "the cherry tree, I thought to";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "the cherry tree, I thought to"
msgstr ""

# mes "mayself, 'I must get out of here quickly.'^000000";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "mayself, 'I must get out of here quickly.'^000000"
msgstr ""

# mes "^3355FFThere was a cherry tree";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "^3355FFThere was a cherry tree"
msgstr ""

# mes "on the hill. It doesn't look";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "on the hill. It doesn't look"
msgstr ""

# mes "like the other trees.";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "like the other trees."
msgstr ""

# mes "This tree seems to have";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "This tree seems to have"
msgstr ""

# mes "a long history...^000000";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "a long history...^000000"
msgstr ""

# mes "^3355FFAre there any people";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "^3355FFAre there any people"
msgstr ""

# mes "who live here? I took";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "who live here? I took"
msgstr ""

# mes "a look around and found";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "a look around and found"
msgstr ""

# mes "someone down the hill.";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "someone down the hill."
msgstr ""

# mes "I better ask her about this tree.^000000";
#: npc/cities/amatsu.txt
msgctxt "Legendary Tree"
msgid "I better ask her about this tree.^000000"
msgstr ""

# mes "[Aibakthing]";
#: npc/cities/ayothaya.txt
msgctxt "::Aibakthing_ayothaya"
msgid "[Aibakthing]"
msgstr ""

# mes "Hoo! Hah! Hoo! Hah!";
#: npc/cities/ayothaya.txt
msgctxt "::Aibakthing_ayothaya"
msgid "Hoo! Hah! Hoo! Hah!"
msgstr ""

# mes "Let me take you away to";
#: npc/cities/ayothaya.txt
msgctxt "::Aibakthing_ayothaya"
msgid "Let me take you away to"
msgstr ""

# mes "a distant spiritual place,";
